Supplier name,Supplier Code,Supplier Location,Contact person,Contact Email,Item number,Item Desc,Manufacturing location/plant name,Total monthly capacity (units),MOQ,Current committed capacity (units),Percentage allocation to company,Current Output volume (units),Lead time,Expedite Qnty possible,Expedite Lead time,Premium to expedite,Technical capabilities,Certifications
Supplier V,SUP-1022,Taiwan,Rina Desai,contact1022@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,Taiwan/Taipei,19308,180,14519,25.30%,13887,23,363,1 days,$1.68/pc,"Final Assembly, Burn-In Test","CE, BIS Certified"
Supplier W,SUP-1023,India,Rina Desai,contact1023@supplier.com,ITM-001,Apple iPhone 15 Pro,India/Pune,48631,172,33507,26.60%,33376,16,232,2 days,$1.0/pc,"SMD Assembly, BGA Packing","ISO 9001, ISO 14001"
Supplier W,SUP-1023,India,Rina Desai,contact1023@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",India/Pune,19418,56,3088,24.40%,2376,17,314,1 days,$1.05/pc,"Die Attach, AOI","CE, BIS Certified"
Supplier W,SUP-1023,India,Suresh Kumar,contact1023@supplier.com,ITM-003,Nike Air Jordan Sneakers,India/Pune,16036,152,7021,13.50%,6183,4,462,2 days,$1.11/pc,"Chip Testing, Reel Packaging","ISO 9001, ISO 14001"
Supplier W,SUP-1023,India,Karthik Rao,contact1023@supplier.com,ITM-004,KitchenAid Stand Mixer,India/Pune,11008,65,4759,21.40%,4632,13,473,1 days,$1.32/pc,"SMD Assembly, BGA Packing","ISO 13485, RoHS"
Supplier W,SUP-1023,India,Sneha Patel,contact1023@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,India/Pune,43536,162,28558,13.00%,27611,5,322,2 days,$1.56/pc,"Final Assembly, Burn-In Test",ISO/TS 16949
Supplier X,SUP-1024,USA,Karthik Rao,contact1024@supplier.com,ITM-001,Apple iPhone 15 Pro,USA/California,32162,79,19037,28.40%,18207,6,134,2 days,$1.05/pc,"Chip Testing, Reel Packaging","CE, BIS Certified"
Supplier X,SUP-1024,USA,Karthik Rao,contact1024@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",USA/California,22436,70,11665,17.30%,11088,20,242,1 days,$1.73/pc,"Die Attach, AOI","CE, BIS Certified"
Supplier X,SUP-1024,USA,Karthik Rao,contact1024@supplier.com,ITM-003,Nike Air Jordan Sneakers,USA/California,36190,52,27197,14.30%,26899,19,291,1 days,$2.16/pc,"Chip Testing, Reel Packaging","ISO 9001, ISO 14001"
Supplier X,SUP-1024,USA,Sneha Patel,contact1024@supplier.com,ITM-004,KitchenAid Stand Mixer,USA/California,11990,62,9552,19.00%,9035,20,279,2 days,$1.86/pc,"Chip Testing, Reel Packaging","CE, BIS Certified"
Supplier X,SUP-1024,USA,Karthik Rao,contact1024@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,USA/California,21324,65,14039,23.60%,13438,7,358,2 days,$1.26/pc,"Die Attach, AOI","ISO 13485, RoHS"
Supplier Y,SUP-1025,India,Karthik Rao,contact1025@supplier.com,ITM-001,Apple iPhone 15 Pro,India/Mumbai,24057,132,16166,17.40%,15622,15,423,2 days,$1.39/pc,"Chip Testing, Reel Packaging","CE, BIS Certified"
Supplier Y,SUP-1025,India,Suresh Kumar,contact1025@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",India/Mumbai,45223,92,21997,10.90%,21819,23,477,2 days,$1.62/pc,"Final Assembly, Burn-In Test","ISO 13485, RoHS"
Supplier Y,SUP-1025,India,Rina Desai,contact1025@supplier.com,ITM-003,Nike Air Jordan Sneakers,India/Mumbai,38694,137,5023,19.10%,4525,3,162,1 days,$1.92/pc,"Chip Testing, Reel Packaging","ISO 13485, RoHS"
Supplier Y,SUP-1025,India,Sneha Patel,contact1025@supplier.com,ITM-004,KitchenAid Stand Mixer,India/Mumbai,40688,141,6571,25.80%,5679,20,120,1 days,$1.49/pc,"Final Assembly, Burn-In Test",ISO/TS 16949
Supplier Y,SUP-1025,India,Suresh Kumar,contact1025@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,India/Mumbai,28321,171,9173,15.90%,8230,18,232,1 days,$1.22/pc,"Die Attach, AOI","ISO 13485, RoHS"
Supplier Z,SUP-1026,Germany,Rina Desai,contact1026@supplier.com,ITM-001,Apple iPhone 15 Pro,Germany/Frankfurt,22197,103,4349,20.80%,3553,4,423,1 days,$2.18/pc,"Final Assembly, Burn-In Test","ISO 13485, RoHS"
Supplier Z,SUP-1026,Germany,Sneha Patel,contact1026@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",Germany/Frankfurt,45293,184,18974,18.00%,18289,17,75,2 days,$1.14/pc,"Chip Testing, Reel Packaging","CE, BIS Certified"
Supplier Z,SUP-1026,Germany,Sneha Patel,contact1026@supplier.com,ITM-003,Nike Air Jordan Sneakers,Germany/Frankfurt,29892,103,17468,20.30%,16741,3,283,2 days,$1.2/pc,"Chip Testing, Reel Packaging",ISO/TS 16949
Supplier Z,SUP-1026,Germany,Karthik Rao,contact1026@supplier.com,ITM-004,KitchenAid Stand Mixer,Germany/Frankfurt,15740,167,7905,21.40%,7607,19,394,2 days,$1.49/pc,"Final Assembly, Burn-In Test","ISO 13485, RoHS"
Supplier Z,SUP-1026,Germany,Karthik Rao,contact1026@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,Germany/Frankfurt,13014,184,6495,16.10%,5552,10,172,1 days,$1.82/pc,"Die Attach, AOI","ISO 9001, ISO 14001"
Supplier A,SUP-1027,China,Rina Desai,contact1027@supplier.com,ITM-001,Apple iPhone 15 Pro,China/Suzhou,41304,162,4864,13.20%,3989,17,60,1 days,$1.1/pc,"SMD Assembly, BGA Packing","ISO 9001, ISO 14001"
Supplier A,SUP-1027,China,Karthik Rao,contact1027@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",China/Suzhou,47019,185,2653,11.00%,2601,3,456,2 days,$2.24/pc,"SMD Assembly, BGA Packing",ISO/TS 16949
Supplier A,SUP-1027,China,Karthik Rao,contact1027@supplier.com,ITM-003,Nike Air Jordan Sneakers,China/Suzhou,42787,88,7648,24.90%,7082,21,119,2 days,$1.24/pc,"Chip Testing, Reel Packaging","ISO 13485, RoHS"
Supplier A,SUP-1027,China,Rina Desai,contact1027@supplier.com,ITM-004,KitchenAid Stand Mixer,China/Suzhou,43012,109,13409,18.00%,13132,3,285,1 days,$2.23/pc,"Chip Testing, Reel Packaging","CE, BIS Certified"
Supplier A,SUP-1027,China,Sneha Patel,contact1027@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,China/Suzhou,44275,135,27061,18.40%,26702,5,68,1 days,$1.08/pc,"Die Attach, AOI",ISO/TS 16949
Supplier B,SUP-1028,Japan,Suresh Kumar,contact1028@supplier.com,ITM-001,Apple iPhone 15 Pro,Japan/Tokyo,20665,184,3984,15.90%,3483,4,162,2 days,$1.45/pc,"Chip Testing, Reel Packaging","ISO 13485, RoHS"
Supplier B,SUP-1028,Japan,Rina Desai,contact1028@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",Japan/Tokyo,38270,52,11736,28.80%,11532,16,249,1 days,$1.57/pc,"Die Attach, AOI",ISO/TS 16949
Supplier B,SUP-1028,Japan,Sneha Patel,contact1028@supplier.com,ITM-003,Nike Air Jordan Sneakers,Japan/Tokyo,20047,60,2663,19.70%,2230,9,185,1 days,$1.16/pc,"Final Assembly, Burn-In Test","CE, BIS Certified"
Supplier B,SUP-1028,Japan,Sneha Patel,contact1028@supplier.com,ITM-004,KitchenAid Stand Mixer,Japan/Tokyo,48260,161,35230,28.70%,34398,7,91,2 days,$1.19/pc,"Chip Testing, Reel Packaging","CE, BIS Certified"
Supplier B,SUP-1028,Japan,Sneha Patel,contact1028@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,Japan/Tokyo,37616,103,15457,22.60%,14928,6,217,2 days,$1.64/pc,"Chip Testing, Reel Packaging","ISO 13485, RoHS"
Supplier C,SUP-1029,USA,Karthik Rao,contact1029@supplier.com,ITM-001,Apple iPhone 15 Pro,USA/Texas,32017,87,5108,14.90%,4692,5,305,1 days,$1.16/pc,"Die Attach, AOI",ISO/TS 16949
Supplier C,SUP-1029,USA,Sneha Patel,contact1029@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",USA/Texas,49208,60,16737,18.00%,16490,22,337,2 days,$1.17/pc,"Chip Testing, Reel Packaging",ISO/TS 16949
Supplier C,SUP-1029,USA,Karthik Rao,contact1029@supplier.com,ITM-003,Nike Air Jordan Sneakers,USA/Texas,34787,117,12216,25.40%,11300,5,428,1 days,$2.15/pc,"SMD Assembly, BGA Packing","CE, BIS Certified"
Supplier C,SUP-1029,USA,Sneha Patel,contact1029@supplier.com,ITM-004,KitchenAid Stand Mixer,USA/Texas,28591,91,12170,19.80%,11562,3,70,2 days,$1.44/pc,"Chip Testing, Reel Packaging","CE, BIS Certified"
Supplier C,SUP-1029,USA,Suresh Kumar,contact1029@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,USA/Texas,19177,123,9287,22.80%,9061,11,361,1 days,$1.63/pc,"Die Attach, AOI","ISO 9001, ISO 14001"
Supplier D,SUP-1030,India,Karthik Rao,contact1030@supplier.com,ITM-001,Apple iPhone 15 Pro,India/Pune,23776,177,6801,17.20%,6487,14,426,2 days,$1.63/pc,"Final Assembly, Burn-In Test",ISO/TS 16949
Supplier D,SUP-1030,India,Karthik Rao,contact1030@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",India/Pune,21908,173,13700,13.30%,13151,23,305,2 days,$2.13/pc,"Final Assembly, Burn-In Test","ISO 9001, ISO 14001"
Supplier D,SUP-1030,India,Rina Desai,contact1030@supplier.com,ITM-003,Nike Air Jordan Sneakers,India/Pune,45718,67,31977,26.70%,31211,3,245,2 days,$1.97/pc,"Chip Testing, Reel Packaging",ISO/TS 16949
Supplier D,SUP-1030,India,Suresh Kumar,contact1030@supplier.com,ITM-004,KitchenAid Stand Mixer,India/Pune,26763,179,3715,12.80%,2727,16,174,1 days,$1.3/pc,"SMD Assembly, BGA Packing","ISO 13485, RoHS"
Supplier D,SUP-1030,India,Sneha Patel,contact1030@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,India/Pune,23084,147,9135,16.30%,8877,17,494,2 days,$1.92/pc,"Final Assembly, Burn-In Test","CE, BIS Certified"
Supplier E,SUP-1031,China,Karthik Rao,contact1031@supplier.com,ITM-001,Apple iPhone 15 Pro,China/Shanghai,22403,138,17613,14.90%,16926,11,207,2 days,$1.63/pc,"Die Attach, AOI","CE, BIS Certified"
Supplier E,SUP-1031,China,Suresh Kumar,contact1031@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",China/Shanghai,43793,119,6679,25.30%,6678,7,371,2 days,$1.84/pc,"Chip Testing, Reel Packaging","CE, BIS Certified"
Supplier E,SUP-1031,China,Rina Desai,contact1031@supplier.com,ITM-003,Nike Air Jordan Sneakers,China/Shanghai,47993,75,2277,25.80%,1888,23,333,1 days,$1.71/pc,"Die Attach, AOI","CE, BIS Certified"
Supplier E,SUP-1031,China,Karthik Rao,contact1031@supplier.com,ITM-004,KitchenAid Stand Mixer,China/Shanghai,17967,136,5536,17.90%,4778,20,100,1 days,$1.91/pc,"SMD Assembly, BGA Packing","ISO 9001, ISO 14001"
Supplier E,SUP-1031,China,Sneha Patel,contact1031@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,China/Shanghai,26954,172,19164,28.00%,18238,12,123,1 days,$1.3/pc,"Chip Testing, Reel Packaging","ISO 9001, ISO 14001"
Supplier F,SUP-1032,China,Rina Desai,contact1032@supplier.com,ITM-001,Apple iPhone 15 Pro,China/Suzhou,28153,161,6242,24.70%,5940,5,56,2 days,$1.44/pc,"Chip Testing, Reel Packaging","ISO 13485, RoHS"
Supplier F,SUP-1032,China,Karthik Rao,contact1032@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",China/Suzhou,15294,156,2510,23.70%,2479,20,107,2 days,$1.85/pc,"SMD Assembly, BGA Packing",ISO/TS 16949
Supplier F,SUP-1032,China,Rina Desai,contact1032@supplier.com,ITM-003,Nike Air Jordan Sneakers,China/Suzhou,12807,152,6707,17.00%,6385,6,303,2 days,$2.2/pc,"Die Attach, AOI",ISO/TS 16949
Supplier F,SUP-1032,China,Karthik Rao,contact1032@supplier.com,ITM-004,KitchenAid Stand Mixer,China/Suzhou,33927,97,4646,15.60%,4177,14,396,2 days,$1.24/pc,"Final Assembly, Burn-In Test","ISO 13485, RoHS"
Supplier F,SUP-1032,China,Rina Desai,contact1032@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,China/Suzhou,24986,177,10245,11.70%,9316,4,368,1 days,$1.07/pc,"Die Attach, AOI","ISO 9001, ISO 14001"
Supplier G,SUP-1033,USA,Rina Desai,contact1033@supplier.com,ITM-001,Apple iPhone 15 Pro,USA/Texas,46007,84,7641,16.50%,7572,14,478,2 days,$1.42/pc,"Final Assembly, Burn-In Test","CE, BIS Certified"
Supplier G,SUP-1033,USA,Suresh Kumar,contact1033@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",USA/Texas,18062,73,9925,22.10%,9741,11,478,1 days,$1.84/pc,"Die Attach, AOI","ISO 9001, ISO 14001"
Supplier G,SUP-1033,USA,Rina Desai,contact1033@supplier.com,ITM-003,Nike Air Jordan Sneakers,USA/Texas,41988,155,6072,24.80%,6057,20,232,1 days,$1.19/pc,"Final Assembly, Burn-In Test","CE, BIS Certified"
Supplier G,SUP-1033,USA,Rina Desai,contact1033@supplier.com,ITM-004,KitchenAid Stand Mixer,USA/Texas,21647,60,7420,18.60%,6591,14,98,1 days,$1.8/pc,"SMD Assembly, BGA Packing","ISO 13485, RoHS"
Supplier G,SUP-1033,USA,Sneha Patel,contact1033@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,USA/Texas,13776,64,8638,15.40%,8401,15,265,1 days,$2.21/pc,"Chip Testing, Reel Packaging","CE, BIS Certified"
Supplier H,SUP-1034,USA,Suresh Kumar,contact1034@supplier.com,ITM-001,Apple iPhone 15 Pro,USA/California,10161,51,4736,11.80%,4436,5,255,2 days,$1.33/pc,"Die Attach, AOI",ISO/TS 16949
Supplier H,SUP-1034,USA,Karthik Rao,contact1034@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",USA/California,32683,64,3517,23.00%,2965,9,336,1 days,$1.16/pc,"Die Attach, AOI","ISO 13485, RoHS"
Supplier H,SUP-1034,USA,Rina Desai,contact1034@supplier.com,ITM-003,Nike Air Jordan Sneakers,USA/California,18349,157,3071,14.60%,2683,13,339,2 days,$1.13/pc,"SMD Assembly, BGA Packing",ISO/TS 16949
Supplier H,SUP-1034,USA,Sneha Patel,contact1034@supplier.com,ITM-004,KitchenAid Stand Mixer,USA/California,33553,186,8577,23.20%,8329,14,497,1 days,$1.15/pc,"Die Attach, AOI","ISO 13485, RoHS"
Supplier H,SUP-1034,USA,Suresh Kumar,contact1034@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,USA/California,40915,81,20885,14.80%,20168,12,238,2 days,$1.44/pc,"SMD Assembly, BGA Packing","CE, BIS Certified"
Supplier I,SUP-1035,China,Sneha Patel,contact1035@supplier.com,ITM-001,Apple iPhone 15 Pro,China/Shanghai,30315,178,2296,25.10%,1899,17,289,1 days,$1.96/pc,"Final Assembly, Burn-In Test","ISO 13485, RoHS"
Supplier I,SUP-1035,China,Karthik Rao,contact1035@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",China/Shanghai,27300,130,17520,11.60%,17058,18,94,2 days,$1.99/pc,"Final Assembly, Burn-In Test","CE, BIS Certified"
Supplier I,SUP-1035,China,Rina Desai,contact1035@supplier.com,ITM-003,Nike Air Jordan Sneakers,China/Shanghai,22110,179,9790,16.20%,9382,12,74,2 days,$1.45/pc,"Die Attach, AOI",ISO/TS 16949
Supplier I,SUP-1035,China,Sneha Patel,contact1035@supplier.com,ITM-004,KitchenAid Stand Mixer,China/Shanghai,12359,136,9794,12.50%,9661,15,370,2 days,$1.77/pc,"Chip Testing, Reel Packaging","ISO 13485, RoHS"
Supplier I,SUP-1035,China,Karthik Rao,contact1035@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,China/Shanghai,10535,113,8339,23.90%,7609,24,287,2 days,$1.99/pc,"Chip Testing, Reel Packaging",ISO/TS 16949
Supplier J,SUP-1036,Japan,Sneha Patel,contact1036@supplier.com,ITM-001,Apple iPhone 15 Pro,Japan/Osaka,33082,155,10367,20.80%,10366,15,137,1 days,$1.45/pc,"SMD Assembly, BGA Packing","CE, BIS Certified"
Supplier J,SUP-1036,Japan,Sneha Patel,contact1036@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",Japan/Osaka,47793,198,37983,13.50%,37295,17,449,1 days,$2.02/pc,"SMD Assembly, BGA Packing","ISO 9001, ISO 14001"
Supplier J,SUP-1036,Japan,Sneha Patel,contact1036@supplier.com,ITM-003,Nike Air Jordan Sneakers,Japan/Osaka,29710,181,22267,13.40%,21664,5,390,2 days,$1.57/pc,"Die Attach, AOI","CE, BIS Certified"
Supplier J,SUP-1036,Japan,Sneha Patel,contact1036@supplier.com,ITM-004,KitchenAid Stand Mixer,Japan/Osaka,31995,72,21874,22.80%,21410,7,172,2 days,$2.01/pc,"SMD Assembly, BGA Packing","CE, BIS Certified"
Supplier J,SUP-1036,Japan,Suresh Kumar,contact1036@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,Japan/Osaka,10902,103,2529,22.90%,1667,15,303,2 days,$1.34/pc,"SMD Assembly, BGA Packing","ISO 9001, ISO 14001"
Supplier K,SUP-1037,Japan,Sneha Patel,contact1037@supplier.com,ITM-001,Apple iPhone 15 Pro,Japan/Osaka,47757,137,31681,14.40%,31262,10,205,1 days,$2.0/pc,"Die Attach, AOI","ISO 13485, RoHS"
Supplier K,SUP-1037,Japan,Suresh Kumar,contact1037@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",Japan/Osaka,19421,70,4155,19.70%,3589,19,486,2 days,$1.25/pc,"SMD Assembly, BGA Packing","ISO 13485, RoHS"
Supplier K,SUP-1037,Japan,Sneha Patel,contact1037@supplier.com,ITM-003,Nike Air Jordan Sneakers,Japan/Osaka,34830,60,2138,26.50%,1162,10,331,2 days,$1.25/pc,"Chip Testing, Reel Packaging","CE, BIS Certified"
Supplier K,SUP-1037,Japan,Karthik Rao,contact1037@supplier.com,ITM-004,KitchenAid Stand Mixer,Japan/Osaka,17373,187,7207,19.30%,6907,18,391,1 days,$1.05/pc,"SMD Assembly, BGA Packing",ISO/TS 16949
Supplier K,SUP-1037,Japan,Suresh Kumar,contact1037@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,Japan/Osaka,26354,118,20980,15.70%,20429,24,198,2 days,$1.71/pc,"Chip Testing, Reel Packaging",ISO/TS 16949
Supplier L,SUP-1038,India,Karthik Rao,contact1038@supplier.com,ITM-001,Apple iPhone 15 Pro,India/Pune,19009,185,2933,24.30%,2027,3,139,1 days,$1.24/pc,"Chip Testing, Reel Packaging",ISO/TS 16949
Supplier L,SUP-1038,India,Rina Desai,contact1038@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",India/Pune,36111,125,8599,13.90%,8194,5,478,1 days,$1.89/pc,"Chip Testing, Reel Packaging",ISO/TS 16949
Supplier L,SUP-1038,India,Sneha Patel,contact1038@supplier.com,ITM-003,Nike Air Jordan Sneakers,India/Pune,27887,100,8941,18.80%,8561,19,458,1 days,$1.2/pc,"SMD Assembly, BGA Packing","CE, BIS Certified"
Supplier L,SUP-1038,India,Karthik Rao,contact1038@supplier.com,ITM-004,KitchenAid Stand Mixer,India/Pune,31647,54,2314,18.30%,2214,3,330,1 days,$1.71/pc,"SMD Assembly, BGA Packing","CE, BIS Certified"
Supplier L,SUP-1038,India,Sneha Patel,contact1038@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,India/Pune,12941,141,7167,23.70%,6245,5,165,1 days,$2.22/pc,"Chip Testing, Reel Packaging",ISO/TS 16949
Supplier M,SUP-1039,Japan,Suresh Kumar,contact1039@supplier.com,ITM-001,Apple iPhone 15 Pro,Japan/Osaka,49847,165,9525,26.10%,9179,18,218,1 days,$1.35/pc,"Final Assembly, Burn-In Test","ISO 9001, ISO 14001"
Supplier M,SUP-1039,Japan,Suresh Kumar,contact1039@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",Japan/Osaka,20156,145,15732,30.00%,15022,21,154,2 days,$1.28/pc,"Die Attach, AOI","ISO 13485, RoHS"
Supplier M,SUP-1039,Japan,Sneha Patel,contact1039@supplier.com,ITM-003,Nike Air Jordan Sneakers,Japan/Osaka,42432,163,27703,13.70%,26972,5,425,2 days,$1.23/pc,"Chip Testing, Reel Packaging",ISO/TS 16949
Supplier M,SUP-1039,Japan,Suresh Kumar,contact1039@supplier.com,ITM-004,KitchenAid Stand Mixer,Japan/Osaka,38048,125,19509,28.20%,19353,9,229,1 days,$1.01/pc,"SMD Assembly, BGA Packing","CE, BIS Certified"
Supplier M,SUP-1039,Japan,Rina Desai,contact1039@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,Japan/Osaka,25716,174,19184,24.70%,19098,20,259,1 days,$2.15/pc,"Chip Testing, Reel Packaging","ISO 13485, RoHS"
Supplier N,SUP-1040,China,Karthik Rao,contact1040@supplier.com,ITM-001,Apple iPhone 15 Pro,China/Shanghai,48760,52,2112,14.70%,1162,6,286,2 days,$1.99/pc,"Final Assembly, Burn-In Test","ISO 13485, RoHS"
Supplier N,SUP-1040,China,Suresh Kumar,contact1040@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",China/Shanghai,19772,59,13106,26.60%,13046,11,177,1 days,$1.65/pc,"Die Attach, AOI","ISO 9001, ISO 14001"
Supplier N,SUP-1040,China,Sneha Patel,contact1040@supplier.com,ITM-003,Nike Air Jordan Sneakers,China/Shanghai,33987,174,5379,17.70%,4434,6,408,1 days,$1.28/pc,"Die Attach, AOI",ISO/TS 16949
Supplier N,SUP-1040,China,Rina Desai,contact1040@supplier.com,ITM-004,KitchenAid Stand Mixer,China/Shanghai,11812,112,7972,20.80%,7799,10,409,2 days,$2.23/pc,"SMD Assembly, BGA Packing","CE, BIS Certified"
Supplier N,SUP-1040,China,Karthik Rao,contact1040@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,China/Shanghai,10118,137,4097,16.20%,3864,5,91,1 days,$1.47/pc,"SMD Assembly, BGA Packing","CE, BIS Certified"
Supplier O,SUP-1041,China,Sneha Patel,contact1041@supplier.com,ITM-001,Apple iPhone 15 Pro,China/Shanghai,31559,156,7924,15.20%,7523,16,198,2 days,$2.24/pc,"Die Attach, AOI",ISO/TS 16949
Supplier O,SUP-1041,China,Sneha Patel,contact1041@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",China/Shanghai,33793,181,16338,25.70%,15496,19,493,2 days,$1.85/pc,"SMD Assembly, BGA Packing",ISO/TS 16949
Supplier O,SUP-1041,China,Suresh Kumar,contact1041@supplier.com,ITM-003,Nike Air Jordan Sneakers,China/Shanghai,44681,148,14649,12.00%,14140,19,170,1 days,$2.19/pc,"Chip Testing, Reel Packaging","CE, BIS Certified"
Supplier O,SUP-1041,China,Suresh Kumar,contact1041@supplier.com,ITM-004,KitchenAid Stand Mixer,China/Shanghai,25428,199,12886,16.80%,12608,19,419,2 days,$1.57/pc,"SMD Assembly, BGA Packing","ISO 13485, RoHS"
Supplier O,SUP-1041,China,Sneha Patel,contact1041@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,China/Shanghai,15665,109,12050,14.40%,11149,9,262,2 days,$2.04/pc,"Final Assembly, Burn-In Test","ISO 9001, ISO 14001"
Supplier P,SUP-1042,Germany,Sneha Patel,contact1042@supplier.com,ITM-001,Apple iPhone 15 Pro,Germany/Frankfurt,22279,140,12992,20.50%,12896,16,260,1 days,$2.02/pc,"Final Assembly, Burn-In Test","CE, BIS Certified"
Supplier P,SUP-1042,Germany,Suresh Kumar,contact1042@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",Germany/Frankfurt,34819,162,17486,10.70%,16739,19,276,1 days,$1.94/pc,"Final Assembly, Burn-In Test","ISO 9001, ISO 14001"
Supplier P,SUP-1042,Germany,Rina Desai,contact1042@supplier.com,ITM-003,Nike Air Jordan Sneakers,Germany/Frankfurt,26236,118,3879,20.10%,3370,24,137,1 days,$1.85/pc,"SMD Assembly, BGA Packing","CE, BIS Certified"
Supplier P,SUP-1042,Germany,Karthik Rao,contact1042@supplier.com,ITM-004,KitchenAid Stand Mixer,Germany/Frankfurt,10014,55,4214,22.30%,3847,4,356,1 days,$1.65/pc,"Die Attach, AOI",ISO/TS 16949
Supplier P,SUP-1042,Germany,Sneha Patel,contact1042@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,Germany/Frankfurt,40242,69,13108,22.30%,12565,23,377,1 days,$1.47/pc,"Chip Testing, Reel Packaging","CE, BIS Certified"
Supplier Q,SUP-1043,China,Karthik Rao,contact1043@supplier.com,ITM-001,Apple iPhone 15 Pro,China/Suzhou,43211,113,17797,12.10%,17446,8,216,1 days,$2.06/pc,"Final Assembly, Burn-In Test","ISO 13485, RoHS"
Supplier Q,SUP-1043,China,Rina Desai,contact1043@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",China/Suzhou,22328,170,4218,12.60%,3334,4,423,1 days,$2.03/pc,"Final Assembly, Burn-In Test","ISO 9001, ISO 14001"
Supplier Q,SUP-1043,China,Sneha Patel,contact1043@supplier.com,ITM-003,Nike Air Jordan Sneakers,China/Suzhou,38458,179,27170,15.10%,26958,15,301,2 days,$1.46/pc,"Final Assembly, Burn-In Test",ISO/TS 16949
Supplier Q,SUP-1043,China,Rina Desai,contact1043@supplier.com,ITM-004,KitchenAid Stand Mixer,China/Suzhou,44873,117,16838,13.80%,16640,15,284,2 days,$1.92/pc,"SMD Assembly, BGA Packing","CE, BIS Certified"
Supplier Q,SUP-1043,China,Suresh Kumar,contact1043@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,China/Suzhou,26706,66,20596,22.90%,20441,11,409,1 days,$1.67/pc,"Chip Testing, Reel Packaging","ISO 9001, ISO 14001"
Supplier R,SUP-1044,Japan,Sneha Patel,contact1044@supplier.com,ITM-001,Apple iPhone 15 Pro,Japan/Tokyo,39969,65,22959,22.80%,22772,22,197,2 days,$1.02/pc,"SMD Assembly, BGA Packing","CE, BIS Certified"
Supplier R,SUP-1044,Japan,Suresh Kumar,contact1044@supplier.com,ITM-002,"Samsung 65"" 4K Smart TV",Japan/Tokyo,29857,197,6442,14.00%,5744,10,136,1 days,$2.2/pc,"SMD Assembly, BGA Packing","CE, BIS Certified"
Supplier R,SUP-1044,Japan,Rina Desai,contact1044@supplier.com,ITM-003,Nike Air Jordan Sneakers,Japan/Tokyo,39315,177,5154,28.20%,4304,16,373,2 days,$2.14/pc,"Chip Testing, Reel Packaging","CE, BIS Certified"
Supplier R,SUP-1044,Japan,Rina Desai,contact1044@supplier.com,ITM-004,KitchenAid Stand Mixer,Japan/Tokyo,25611,82,12022,12.90%,11760,24,84,2 days,$1.49/pc,"Chip Testing, Reel Packaging","ISO 9001, ISO 14001"
Supplier R,SUP-1044,Japan,Suresh Kumar,contact1044@supplier.com,ITM-005,Dyson V15 Vacuum Cleaner,Japan/Tokyo,13115,86,4175,29.70%,3183,3,429,1 days,$1.11/pc,"SMD Assembly, BGA Packing","CE, BIS Certified"
Supplier S,SUP-1045,India,Sneha Patel,contact1045@supplier.com,ITM-001,Apple iPhone 15 Pro,India/Mumbai,44755,131,16280,21.30%,16233,20,107,2 days,$2.11/pc,"Chip Testing, Reel Packaging","ISO 9001, ISO 14001"
