PO number,GRN No.,Item number,Item Description,UoM,Qnty received,Supplier code,Received Location
PO-79842,GRN100100941,ITM-002,Thermal Paste,TUB,703,SUP-1038,Philippines/Manila
PO-79843,GRN100100942,ITM-003,Capacitor 100uF,PCS,766,SUP-1038,Taiwan/Taipei
PO-79844,GRN100100943,ITM-004,Silicone Sealant,TUB,1240,SUP-1038,US/New York
PO-79845,GRN100100944,ITM-005,Logic Chip,PCS,920,SUP-1038,US/New York
PO-79846,GRN100100945,ITM-001,High Precision Resistor,PCS,673,SUP-1039,Taiwan/Taipei
PO-79847,GRN100100946,ITM-002,Thermal Paste,TUB,1260,SUP-1039,Philippines/Manila
PO-79848,GRN100100947,ITM-003,Capacitor 100uF,PCS,1075,SUP-1039,Taiwan/Taipei
PO-79849,GRN100100948,ITM-004,Silicone Sealant,TUB,1269,SUP-1039,Philippines/Manila
PO-79850,GRN100100949,ITM-005,Logic Chip,PCS,1042,SUP-1039,Taiwan/Taipei
PO-79851,GRN100100950,ITM-001,High Precision Resistor,PCS,1496,SUP-1040,Taiwan/Taipei
PO-79852,GRN100100951,ITM-002,Thermal Paste,TUB,1276,SUP-1040,Philippines/Manila
PO-79853,GRN100100952,ITM-003,Capacitor 100uF,PCS,1207,SUP-1040,Taiwan/Taipei
PO-79854,GRN100100953,ITM-004,Silicone Sealant,TUB,654,SUP-1040,US/New York
PO-79855,GRN100100954,ITM-005,Logic Chip,PCS,1128,SUP-1040,Taiwan/Taipei
PO-79856,GRN100100955,ITM-001,High Precision Resistor,PCS,1857,SUP-1041,Philippines/Manila
PO-79857,GRN100100956,ITM-002,Thermal Paste,TUB,661,SUP-1041,Taiwan/Taipei
PO-79858,GRN100100957,ITM-003,Capacitor 100uF,PCS,960,SUP-1041,Taiwan/Taipei
PO-79859,GRN100100958,ITM-004,Silicone Sealant,TUB,1685,SUP-1041,US/New York
PO-79860,GRN100100959,ITM-005,Logic Chip,PCS,501,SUP-1041,Philippines/Manila
PO-79861,GRN100100960,ITM-001,High Precision Resistor,PCS,1732,SUP-1042,Taiwan/Taipei
PO-79862,GRN100100961,ITM-002,Thermal Paste,TUB,942,SUP-1042,Taiwan/Taipei
PO-79863,GRN100100962,ITM-003,Capacitor 100uF,PCS,1483,SUP-1042,Taiwan/Taipei
PO-79864,GRN100100963,ITM-004,Silicone Sealant,TUB,1374,SUP-1042,US/New York
PO-79865,GRN100100964,ITM-005,Logic Chip,PCS,637,SUP-1042,US/New York
PO-79866,GRN100100965,ITM-001,High Precision Resistor,PCS,749,SUP-1043,US/New York
PO-79867,GRN100100966,ITM-002,Thermal Paste,TUB,1297,SUP-1043,US/New York
PO-79868,GRN100100967,ITM-003,Capacitor 100uF,PCS,1194,SUP-1043,US/New York
PO-79869,GRN100100968,ITM-004,Silicone Sealant,TUB,1514,SUP-1043,Philippines/Manila
PO-79870,GRN100100969,ITM-005,Logic Chip,PCS,527,SUP-1043,Philippines/Manila
PO-79871,GRN100100970,ITM-001,High Precision Resistor,PCS,803,SUP-1044,Philippines/Manila
PO-79872,GRN100100971,ITM-002,Thermal Paste,TUB,1215,SUP-1044,Taiwan/Taipei
PO-79873,GRN100100972,ITM-003,Capacitor 100uF,PCS,596,SUP-1044,Philippines/Manila
PO-79874,GRN100100973,ITM-004,Silicone Sealant,TUB,881,SUP-1044,Philippines/Manila
PO-79875,GRN100100974,ITM-005,Logic Chip,PCS,1144,SUP-1044,Philippines/Manila
PO-79876,GRN100100975,ITM-001,High Precision Resistor,PCS,1577,SUP-1045,Taiwan/Taipei
PO-79877,GRN100100976,ITM-002,Thermal Paste,TUB,518,SUP-1045,Philippines/Manila
PO-79878,GRN100100977,ITM-003,Capacitor 100uF,PCS,1666,SUP-1045,Taiwan/Taipei
PO-79879,GRN100100978,ITM-004,Silicone Sealant,TUB,1180,SUP-1045,Taiwan/Taipei
PO-79880,GRN100100979,ITM-005,Logic Chip,PCS,630,SUP-1045,Taiwan/Taipei
PO-79881,GRN100100980,ITM-001,High Precision Resistor,PCS,1758,SUP-1046,Taiwan/Taipei
PO-79882,GRN100100981,ITM-002,Thermal Paste,TUB,1780,SUP-1046,US/New York
PO-79883,GRN100100982,ITM-003,Capacitor 100uF,PCS,658,SUP-1046,Philippines/Manila
PO-79884,GRN100100983,ITM-004,Silicone Sealant,TUB,1446,SUP-1046,Philippines/Manila
PO-79885,GRN100100984,ITM-005,Logic Chip,PCS,1812,SUP-1046,US/New York
PO-79886,GRN100100985,ITM-001,High Precision Resistor,PCS,554,SUP-1047,US/New York
PO-79887,GRN100100986,ITM-002,Thermal Paste,TUB,1810,SUP-1047,US/New York
PO-79888,GRN100100987,ITM-003,Capacitor 100uF,PCS,1181,SUP-1047,Philippines/Manila
PO-79889,GRN100100988,ITM-004,Silicone Sealant,TUB,1208,SUP-1047,Philippines/Manila
PO-79890,GRN100100989,ITM-005,Logic Chip,PCS,1588,SUP-1047,Taiwan/Taipei
PO-79891,GRN100100990,ITM-001,High Precision Resistor,PCS,1442,SUP-1048,Taiwan/Taipei
PO-79892,GRN100100991,ITM-002,Thermal Paste,TUB,702,SUP-1048,Philippines/Manila
PO-79893,GRN100100992,ITM-003,Capacitor 100uF,PCS,1888,SUP-1048,US/New York
PO-79894,GRN100100993,ITM-004,Silicone Sealant,TUB,630,SUP-1048,US/New York
PO-79895,GRN100100994,ITM-005,Logic Chip,PCS,1608,SUP-1048,Philippines/Manila
PO-79896,GRN100100995,ITM-001,High Precision Resistor,PCS,785,SUP-1049,Philippines/Manila
PO-79897,GRN100100996,ITM-002,Thermal Paste,TUB,504,SUP-1049,US/New York
PO-79898,GRN100100997,ITM-003,Capacitor 100uF,PCS,919,SUP-1049,Philippines/Manila
PO-79899,GRN100100998,ITM-004,Silicone Sealant,TUB,1761,SUP-1049,US/New York
PO-79900,GRN100100999,ITM-005,Logic Chip,PCS,815,SUP-1049,Taiwan/Taipei
PO-79901,GRN100101000,ITM-001,High Precision Resistor,PCS,1448,SUP-1050,Philippines/Manila
PO-79902,GRN100101001,ITM-002,Thermal Paste,TUB,1139,SUP-1050,Philippines/Manila
PO-79903,GRN100101002,ITM-003,Capacitor 100uF,PCS,1252,SUP-1050,Taiwan/Taipei
PO-79904,GRN100101003,ITM-004,Silicone Sealant,TUB,1032,SUP-1050,US/New York
PO-79905,GRN100101004,ITM-005,Logic Chip,PCS,838,SUP-1050,Taiwan/Taipei
PO-79906,GRN100101005,ITM-001,High Precision Resistor,PCS,590,SUP-1001,Philippines/Manila
PO-79907,GRN100101006,ITM-002,Thermal Paste,TUB,1651,SUP-1001,Taiwan/Taipei
PO-79908,GRN100101007,ITM-003,Capacitor 100uF,PCS,956,SUP-1001,Taiwan/Taipei
PO-79909,GRN100101008,ITM-004,Silicone Sealant,TUB,1319,SUP-1001,Philippines/Manila
PO-79910,GRN100101009,ITM-005,Logic Chip,PCS,1669,SUP-1001,Philippines/Manila
PO-79911,GRN100101010,ITM-001,High Precision Resistor,PCS,761,SUP-1002,Philippines/Manila
PO-79912,GRN100101011,ITM-002,Thermal Paste,TUB,465,SUP-1002,US/New York
PO-79913,GRN100101012,ITM-003,Capacitor 100uF,PCS,770,SUP-1002,US/New York
PO-79914,GRN100101013,ITM-004,Silicone Sealant,TUB,1526,SUP-1002,US/New York
PO-79915,GRN100101014,ITM-005,Logic Chip,PCS,1687,SUP-1002,Taiwan/Taipei
PO-79916,GRN100101015,ITM-001,High Precision Resistor,PCS,617,SUP-1003,Taiwan/Taipei
PO-79917,GRN100101016,ITM-002,Thermal Paste,TUB,1895,SUP-1003,Philippines/Manila
PO-79918,GRN100101017,ITM-003,Capacitor 100uF,PCS,493,SUP-1003,Philippines/Manila
PO-79919,GRN100101018,ITM-004,Silicone Sealant,TUB,896,SUP-1003,Taiwan/Taipei
PO-79920,GRN100101019,ITM-005,Logic Chip,PCS,1354,SUP-1003,US/New York
PO-79921,GRN100101020,ITM-001,High Precision Resistor,PCS,1544,SUP-1004,Philippines/Manila
PO-79922,GRN100101021,ITM-002,Thermal Paste,TUB,1498,SUP-1004,US/New York
PO-79923,GRN100101022,ITM-003,Capacitor 100uF,PCS,1550,SUP-1004,US/New York
PO-79924,GRN100101023,ITM-004,Silicone Sealant,TUB,457,SUP-1004,Taiwan/Taipei
PO-79925,GRN100101024,ITM-005,Logic Chip,PCS,802,SUP-1004,Taiwan/Taipei
PO-79926,GRN100101025,ITM-001,High Precision Resistor,PCS,1943,SUP-1005,Philippines/Manila
PO-79927,GRN100101026,ITM-002,Thermal Paste,TUB,1024,SUP-1005,Philippines/Manila
PO-79928,GRN100101027,ITM-003,Capacitor 100uF,PCS,1048,SUP-1005,US/New York
PO-79929,GRN100101028,ITM-004,Silicone Sealant,TUB,1467,SUP-1005,US/New York
PO-79930,GRN100101029,ITM-005,Logic Chip,PCS,1292,SUP-1005,Taiwan/Taipei
PO-79931,GRN100101030,ITM-001,High Precision Resistor,PCS,647,SUP-1006,Taiwan/Taipei
PO-79932,GRN100101031,ITM-002,Thermal Paste,TUB,533,SUP-1006,US/New York
PO-79933,GRN100101032,ITM-003,Capacitor 100uF,PCS,1089,SUP-1006,Philippines/Manila
PO-79934,GRN100101033,ITM-004,Silicone Sealant,TUB,1052,SUP-1006,Philippines/Manila
PO-79935,GRN100101034,ITM-005,Logic Chip,PCS,1308,SUP-1006,Taiwan/Taipei
PO-79936,GRN100101035,ITM-001,High Precision Resistor,PCS,734,SUP-1007,Philippines/Manila
PO-79937,GRN100101036,ITM-002,Thermal Paste,TUB,1295,SUP-1007,US/New York
PO-79938,GRN100101037,ITM-003,Capacitor 100uF,PCS,962,SUP-1007,Taiwan/Taipei
PO-79939,GRN100101038,ITM-004,Silicone Sealant,TUB,974,SUP-1007,US/New York
PO-79940,GRN100101039,ITM-005,Logic Chip,PCS,1217,SUP-1007,Philippines/Manila
PO-79941,GRN100101040,ITM-001,High Precision Resistor,PCS,1227,SUP-1008,US/New York
PO-79942,GRN100101041,ITM-002,Thermal Paste,TUB,1151,SUP-1008,Philippines/Manila
PO-79943,GRN100101042,ITM-003,Capacitor 100uF,PCS,812,SUP-1008,US/New York
PO-79944,GRN100101043,ITM-004,Silicone Sealant,TUB,1179,SUP-1008,Philippines/Manila
PO-79945,GRN100101044,ITM-005,Logic Chip,PCS,1251,SUP-1008,Taiwan/Taipei
PO-79946,GRN100101045,ITM-001,High Precision Resistor,PCS,991,SUP-1009,US/New York
PO-79947,GRN100101046,ITM-002,Thermal Paste,TUB,1082,SUP-1009,US/New York
PO-79948,GRN100101047,ITM-003,Capacitor 100uF,PCS,1407,SUP-1009,US/New York
PO-79949,GRN100101048,ITM-004,Silicone Sealant,TUB,615,SUP-1009,Taiwan/Taipei
PO-79950,GRN100101049,ITM-005,Logic Chip,PCS,1313,SUP-1009,US/New York
PO-79951,GRN100101050,ITM-001,High Precision Resistor,PCS,710,SUP-1010,US/New York
PO-79952,GRN100101051,ITM-002,Thermal Paste,TUB,1626,SUP-1010,US/New York
PO-79953,GRN100101052,ITM-003,Capacitor 100uF,PCS,1205,SUP-1010,Philippines/Manila
PO-79954,GRN100101053,ITM-004,Silicone Sealant,TUB,1888,SUP-1010,Taiwan/Taipei
PO-79955,GRN100101054,ITM-005,Logic Chip,PCS,603,SUP-1010,Philippines/Manila
PO-79956,GRN100101055,ITM-001,High Precision Resistor,PCS,1813,SUP-1011,Philippines/Manila
PO-79957,GRN100101056,ITM-002,Thermal Paste,TUB,1635,SUP-1011,Taiwan/Taipei
PO-79958,GRN100101057,ITM-003,Capacitor 100uF,PCS,726,SUP-1011,US/New York
PO-79959,GRN100101058,ITM-004,Silicone Sealant,TUB,625,SUP-1011,US/New York
PO-79960,GRN100101059,ITM-005,Logic Chip,PCS,1178,SUP-1011,US/New York
PO-79961,GRN100101060,ITM-001,High Precision Resistor,PCS,1280,SUP-1012,Taiwan/Taipei
PO-79962,GRN100101061,ITM-002,Thermal Paste,TUB,1435,SUP-1012,Taiwan/Taipei
PO-79963,GRN100101062,ITM-003,Capacitor 100uF,PCS,1368,SUP-1012,US/New York
PO-79964,GRN100101063,ITM-004,Silicone Sealant,TUB,819,SUP-1012,Philippines/Manila
PO-79965,GRN100101064,ITM-005,Logic Chip,PCS,831,SUP-1012,US/New York
PO-79966,GRN100101065,ITM-001,High Precision Resistor,PCS,1009,SUP-1013,Philippines/Manila
PO-79967,GRN100101066,ITM-002,Thermal Paste,TUB,1126,SUP-1013,Philippines/Manila
PO-79968,GRN100101067,ITM-003,Capacitor 100uF,PCS,1758,SUP-1013,US/New York
PO-79969,GRN100101068,ITM-004,Silicone Sealant,TUB,1214,SUP-1013,Philippines/Manila
PO-79970,GRN100101069,ITM-005,Logic Chip,PCS,796,SUP-1013,Taiwan/Taipei
PO-79971,GRN100101070,ITM-001,High Precision Resistor,PCS,1445,SUP-1014,US/New York
PO-79972,GRN100101071,ITM-002,Thermal Paste,TUB,1607,SUP-1014,Taiwan/Taipei
PO-79973,GRN100101072,ITM-003,Capacitor 100uF,PCS,747,SUP-1014,US/New York
PO-79974,GRN100101073,ITM-004,Silicone Sealant,TUB,1195,SUP-1014,Philippines/Manila
PO-79975,GRN100101074,ITM-005,Logic Chip,PCS,1173,SUP-1014,Philippines/Manila
PO-79976,GRN100101075,ITM-001,High Precision Resistor,PCS,654,SUP-1015,Taiwan/Taipei
PO-79977,GRN100101076,ITM-002,Thermal Paste,TUB,528,SUP-1015,US/New York
PO-79978,GRN100101077,ITM-003,Capacitor 100uF,PCS,1572,SUP-1015,Philippines/Manila
PO-79979,GRN100101078,ITM-004,Silicone Sealant,TUB,643,SUP-1015,Taiwan/Taipei
PO-79980,GRN100101079,ITM-005,Logic Chip,PCS,950,SUP-1015,Taiwan/Taipei
PO-79981,GRN100101080,ITM-001,High Precision Resistor,PCS,1388,SUP-1016,US/New York
PO-79982,GRN100101081,ITM-002,Thermal Paste,TUB,1062,SUP-1016,US/New York
PO-79983,GRN100101082,ITM-003,Capacitor 100uF,PCS,1245,SUP-1016,US/New York
PO-79984,GRN100101083,ITM-004,Silicone Sealant,TUB,1460,SUP-1016,US/New York
PO-79985,GRN100101084,ITM-005,Logic Chip,PCS,487,SUP-1016,Philippines/Manila
PO-79986,GRN100101085,ITM-001,High Precision Resistor,PCS,1662,SUP-1017,Philippines/Manila
PO-79987,GRN100101086,ITM-002,Thermal Paste,TUB,575,SUP-1017,Taiwan/Taipei
PO-79988,GRN100101087,ITM-003,Capacitor 100uF,PCS,944,SUP-1017,US/New York
PO-79989,GRN100101088,ITM-004,Silicone Sealant,TUB,1179,SUP-1017,Taiwan/Taipei
PO-79990,GRN100101089,ITM-005,Logic Chip,PCS,666,SUP-1017,Taiwan/Taipei
PO-79991,GRN100101090,ITM-001,High Precision Resistor,PCS,829,SUP-1018,Philippines/Manila
PO-79992,GRN100101091,ITM-002,Thermal Paste,TUB,1348,SUP-1018,US/New York
PO-79993,GRN100101092,ITM-003,Capacitor 100uF,PCS,886,SUP-1018,Taiwan/Taipei
PO-79994,GRN100101093,ITM-004,Silicone Sealant,TUB,884,SUP-1018,Taiwan/Taipei
PO-79995,GRN100101094,ITM-005,Logic Chip,PCS,738,SUP-1018,Philippines/Manila
PO-79996,GRN100101095,ITM-001,High Precision Resistor,PCS,1339,SUP-1019,US/New York
PO-79997,GRN100101096,ITM-002,Thermal Paste,TUB,846,SUP-1019,US/New York
PO-79998,GRN100101097,ITM-003,Capacitor 100uF,PCS,852,SUP-1019,US/New York
PO-79999,GRN100101098,ITM-004,Silicone Sealant,TUB,773,SUP-1019,Philippines/Manila
PO-80000,GRN100101099,ITM-005,Logic Chip,PCS,1302,SUP-1019,Taiwan/Taipei
PO-80001,GRN100101100,ITM-001,High Precision Resistor,PCS,839,SUP-1020,US/New York
PO-80002,GRN100101101,ITM-002,Thermal Paste,TUB,1231,SUP-1020,Philippines/Manila
PO-80003,GRN100101102,ITM-003,Capacitor 100uF,PCS,541,SUP-1020,Philippines/Manila
PO-80004,GRN100101103,ITM-004,Silicone Sealant,TUB,1076,SUP-1020,US/New York
PO-80005,GRN100101104,ITM-005,Logic Chip,PCS,1707,SUP-1020,Taiwan/Taipei
PO-80006,GRN100101105,ITM-001,High Precision Resistor,PCS,1632,SUP-1021,US/New York
PO-80007,GRN100101106,ITM-002,Thermal Paste,TUB,711,SUP-1021,US/New York
PO-80008,GRN100101107,ITM-003,Capacitor 100uF,PCS,1946,SUP-1021,Philippines/Manila
PO-80009,GRN100101108,ITM-004,Silicone Sealant,TUB,934,SUP-1021,US/New York
PO-80010,GRN100101109,ITM-005,Logic Chip,PCS,1819,SUP-1021,Taiwan/Taipei
PO-80011,GRN100101110,ITM-001,High Precision Resistor,PCS,514,SUP-1022,Philippines/Manila
PO-80012,GRN100101111,ITM-002,Thermal Paste,TUB,1549,SUP-1022,Taiwan/Taipei
PO-80013,GRN100101112,ITM-003,Capacitor 100uF,PCS,1807,SUP-1022,Taiwan/Taipei
PO-80014,GRN100101113,ITM-004,Silicone Sealant,TUB,852,SUP-1022,Philippines/Manila
PO-80015,GRN100101114,ITM-005,Logic Chip,PCS,1978,SUP-1022,US/New York
PO-80016,GRN100101115,ITM-001,High Precision Resistor,PCS,524,SUP-1023,Philippines/Manila
PO-80017,GRN100101116,ITM-002,Thermal Paste,TUB,1185,SUP-1023,Taiwan/Taipei
PO-80018,GRN100101117,ITM-003,Capacitor 100uF,PCS,1497,SUP-1023,Taiwan/Taipei
PO-80019,GRN100101118,ITM-004,Silicone Sealant,TUB,1824,SUP-1023,Philippines/Manila
PO-80020,GRN100101119,ITM-005,Logic Chip,PCS,1951,SUP-1023,US/New York
PO-80021,GRN100101120,ITM-001,High Precision Resistor,PCS,1686,SUP-1024,US/New York
PO-80022,GRN100101121,ITM-002,Thermal Paste,TUB,1209,SUP-1024,US/New York
PO-80023,GRN100101122,ITM-003,Capacitor 100uF,PCS,1502,SUP-1024,Taiwan/Taipei
PO-80024,GRN100101123,ITM-004,Silicone Sealant,TUB,955,SUP-1024,Taiwan/Taipei
PO-80025,GRN100101124,ITM-005,Logic Chip,PCS,597,SUP-1024,US/New York
PO-80026,GRN100101125,ITM-001,High Precision Resistor,PCS,1744,SUP-1025,Philippines/Manila
PO-80027,GRN100101126,ITM-002,Thermal Paste,TUB,1700,SUP-1025,US/New York
PO-80028,GRN100101127,ITM-003,Capacitor 100uF,PCS,510,SUP-1025,US/New York
PO-80029,GRN100101128,ITM-004,Silicone Sealant,TUB,1233,SUP-1025,Philippines/Manila
PO-80030,GRN100101129,ITM-005,Logic Chip,PCS,1223,SUP-1025,Taiwan/Taipei
PO-80031,GRN100101130,ITM-001,High Precision Resistor,PCS,1239,SUP-1026,Philippines/Manila
PO-80032,GRN100101131,ITM-002,Thermal Paste,TUB,774,SUP-1026,US/New York
PO-80033,GRN100101132,ITM-003,Capacitor 100uF,PCS,634,SUP-1026,US/New York
PO-80034,GRN100101133,ITM-004,Silicone Sealant,TUB,1410,SUP-1026,Philippines/Manila
PO-80035,GRN100101134,ITM-005,Logic Chip,PCS,1295,SUP-1026,Taiwan/Taipei
PO-80036,GRN100101135,ITM-001,High Precision Resistor,PCS,505,SUP-1027,Taiwan/Taipei
PO-80037,GRN100101136,ITM-002,Thermal Paste,TUB,1464,SUP-1027,Taiwan/Taipei
PO-80038,GRN100101137,ITM-003,Capacitor 100uF,PCS,950,SUP-1027,US/New York
PO-80039,GRN100101138,ITM-004,Silicone Sealant,TUB,1113,SUP-1027,US/New York
PO-80040,GRN100101139,ITM-005,Logic Chip,PCS,1729,SUP-1027,US/New York
PO-80041,GRN100101140,ITM-001,High Precision Resistor,PCS,1487,SUP-1028,Philippines/Manila
PO-80042,GRN100101141,ITM-002,Thermal Paste,TUB,1125,SUP-1028,Philippines/Manila
PO-80043,GRN100101142,ITM-003,Capacitor 100uF,PCS,520,SUP-1028,Taiwan/Taipei
PO-80044,GRN100101143,ITM-004,Silicone Sealant,TUB,1526,SUP-1028,Philippines/Manila
PO-80045,GRN100101144,ITM-005,Logic Chip,PCS,1881,SUP-1028,US/New York
PO-80046,GRN100101145,ITM-001,High Precision Resistor,PCS,1588,SUP-1029,US/New York
PO-80047,GRN100101146,ITM-002,Thermal Paste,TUB,1039,SUP-1029,Taiwan/Taipei
PO-80048,GRN100101147,ITM-003,Capacitor 100uF,PCS,1071,SUP-1029,US/New York
PO-80049,GRN100101148,ITM-004,Silicone Sealant,TUB,714,SUP-1029,Philippines/Manila
PO-80050,GRN100101149,ITM-005,Logic Chip,PCS,662,SUP-1029,Taiwan/Taipei
PO-80051,GRN100101150,ITM-001,High Precision Resistor,PCS,1488,SUP-1030,Philippines/Manila
PO-80052,GRN100101151,ITM-002,Thermal Paste,TUB,629,SUP-1030,Philippines/Manila
PO-80053,GRN100101152,ITM-003,Capacitor 100uF,PCS,1656,SUP-1030,US/New York
PO-80054,GRN100101153,ITM-004,Silicone Sealant,TUB,626,SUP-1030,Philippines/Manila
PO-80055,GRN100101154,ITM-005,Logic Chip,PCS,1416,SUP-1030,Taiwan/Taipei
PO-80056,GRN100101155,ITM-001,High Precision Resistor,PCS,1272,SUP-1031,US/New York
PO-80057,GRN100101156,ITM-002,Thermal Paste,TUB,1881,SUP-1031,Philippines/Manila
PO-80058,GRN100101157,ITM-003,Capacitor 100uF,PCS,1331,SUP-1031,US/New York
PO-80059,GRN100101158,ITM-004,Silicone Sealant,TUB,763,SUP-1031,US/New York
PO-80060,GRN100101159,ITM-005,Logic Chip,PCS,816,SUP-1031,Philippines/Manila
PO-80061,GRN100101160,ITM-001,High Precision Resistor,PCS,790,SUP-1032,Taiwan/Taipei
PO-80062,GRN100101161,ITM-002,Thermal Paste,TUB,1635,SUP-1032,Philippines/Manila
PO-80063,GRN100101162,ITM-003,Capacitor 100uF,PCS,868,SUP-1032,Philippines/Manila
PO-80064,GRN100101163,ITM-004,Silicone Sealant,TUB,1207,SUP-1032,Philippines/Manila
PO-80065,GRN100101164,ITM-005,Logic Chip,PCS,1002,SUP-1032,US/New York
PO-80066,GRN100101165,ITM-001,High Precision Resistor,PCS,521,SUP-1033,Taiwan/Taipei
PO-80067,GRN100101166,ITM-002,Thermal Paste,TUB,712,SUP-1033,US/New York
PO-80068,GRN100101167,ITM-003,Capacitor 100uF,PCS,1464,SUP-1033,Taiwan/Taipei
PO-80069,GRN100101168,ITM-004,Silicone Sealant,TUB,680,SUP-1033,Taiwan/Taipei
PO-80070,GRN100101169,ITM-005,Logic Chip,PCS,1896,SUP-1033,Taiwan/Taipei
PO-80071,GRN100101170,ITM-001,High Precision Resistor,PCS,1806,SUP-1034,Taiwan/Taipei
PO-80072,GRN100101171,ITM-002,Thermal Paste,TUB,747,SUP-1034,US/New York
PO-80073,GRN100101172,ITM-003,Capacitor 100uF,PCS,632,SUP-1034,US/New York
PO-80074,GRN100101173,ITM-004,Silicone Sealant,TUB,1097,SUP-1034,US/New York
PO-80075,GRN100101174,ITM-005,Logic Chip,PCS,1232,SUP-1034,US/New York
PO-80076,GRN100101175,ITM-001,High Precision Resistor,PCS,1090,SUP-1035,Taiwan/Taipei
PO-80077,GRN100101176,ITM-002,Thermal Paste,TUB,1461,SUP-1035,Taiwan/Taipei
PO-80078,GRN100101177,ITM-003,Capacitor 100uF,PCS,886,SUP-1035,Philippines/Manila
PO-80079,GRN100101178,ITM-004,Silicone Sealant,TUB,872,SUP-1035,US/New York
PO-80080,GRN100101179,ITM-005,Logic Chip,PCS,1522,SUP-1035,Taiwan/Taipei
PO-80081,GRN100101180,ITM-001,High Precision Resistor,PCS,1676,SUP-1036,Taiwan/Taipei
PO-80082,GRN100101181,ITM-002,Thermal Paste,TUB,1185,SUP-1036,US/New York
PO-80083,GRN100101182,ITM-003,Capacitor 100uF,PCS,672,SUP-1036,Philippines/Manila
PO-80084,GRN100101183,ITM-004,Silicone Sealant,TUB,688,SUP-1036,Philippines/Manila
PO-80085,GRN100101184,ITM-005,Logic Chip,PCS,1186,SUP-1036,US/New York
PO-80086,GRN100101185,ITM-001,High Precision Resistor,PCS,1262,SUP-1037,US/New York
PO-80087,GRN100101186,ITM-002,Thermal Paste,TUB,1624,SUP-1037,Philippines/Manila
PO-80088,GRN100101187,ITM-003,Capacitor 100uF,PCS,743,SUP-1037,Taiwan/Taipei
PO-80089,GRN100101188,ITM-004,Silicone Sealant,TUB,1603,SUP-1037,Philippines/Manila
PO-80090,GRN100101189,ITM-005,Logic Chip,PCS,1106,SUP-1037,Philippines/Manila
PO-80091,GRN100101190,ITM-001,High Precision Resistor,PCS,1485,SUP-1038,Taiwan/Taipei
PO-80092,GRN100101191,ITM-002,Thermal Paste,TUB,1436,SUP-1038,US/New York
PO-80093,GRN100101192,ITM-003,Capacitor 100uF,PCS,1053,SUP-1038,Taiwan/Taipei
PO-80094,GRN100101193,ITM-004,Silicone Sealant,TUB,1027,SUP-1038,US/New York
PO-80095,GRN100101194,ITM-005,Logic Chip,PCS,1717,SUP-1038,US/New York
PO-80096,GRN100101195,ITM-001,High Precision Resistor,PCS,1489,SUP-1039,US/New York
PO-80097,GRN100101196,ITM-002,Thermal Paste,TUB,500,SUP-1039,US/New York
PO-80098,GRN100101197,ITM-003,Capacitor 100uF,PCS,1835,SUP-1039,US/New York
PO-80099,GRN100101198,ITM-004,Silicone Sealant,TUB,1586,SUP-1039,Taiwan/Taipei
PO-80100,GRN100101199,ITM-005,Logic Chip,PCS,1531,SUP-1039,Philippines/Manila
PO-80101,GRN100101200,ITM-001,High Precision Resistor,PCS,867,SUP-1040,Philippines/Manila
PO-80102,GRN100101201,ITM-002,Thermal Paste,TUB,1363,SUP-1040,US/New York
PO-80103,GRN100101202,ITM-003,Capacitor 100uF,PCS,1002,SUP-1040,US/New York
PO-80104,GRN100101203,ITM-004,Silicone Sealant,TUB,556,SUP-1040,Philippines/Manila
PO-80105,GRN100101204,ITM-005,Logic Chip,PCS,1080,SUP-1040,US/New York
PO-80106,GRN100101205,ITM-001,High Precision Resistor,PCS,1380,SUP-1041,Taiwan/Taipei
PO-80107,GRN100101206,ITM-002,Thermal Paste,TUB,1435,SUP-1041,US/New York
PO-80108,GRN100101207,ITM-003,Capacitor 100uF,PCS,919,SUP-1041,US/New York
PO-80109,GRN100101208,ITM-004,Silicone Sealant,TUB,1817,SUP-1041,Philippines/Manila
PO-80110,GRN100101209,ITM-005,Logic Chip,PCS,1023,SUP-1041,Philippines/Manila
PO-80111,GRN100101210,ITM-001,High Precision Resistor,PCS,1198,SUP-1042,Taiwan/Taipei
PO-80112,GRN100101211,ITM-002,Thermal Paste,TUB,1564,SUP-1042,Taiwan/Taipei
PO-80113,GRN100101212,ITM-003,Capacitor 100uF,PCS,1564,SUP-1042,US/New York
PO-80114,GRN100101213,ITM-004,Silicone Sealant,TUB,1727,SUP-1042,US/New York
PO-80115,GRN100101214,ITM-005,Logic Chip,PCS,1171,SUP-1042,Taiwan/Taipei
PO-80116,GRN100101215,ITM-001,High Precision Resistor,PCS,1954,SUP-1043,Taiwan/Taipei
PO-80117,GRN100101216,ITM-002,Thermal Paste,TUB,1535,SUP-1043,US/New York
PO-80118,GRN100101217,ITM-003,Capacitor 100uF,PCS,1651,SUP-1043,Philippines/Manila
PO-80119,GRN100101218,ITM-004,Silicone Sealant,TUB,1155,SUP-1043,Taiwan/Taipei
PO-80120,GRN100101219,ITM-005,Logic Chip,PCS,1009,SUP-1043,Philippines/Manila
PO-80121,GRN100101220,ITM-001,High Precision Resistor,PCS,1355,SUP-1044,US/New York
PO-80122,GRN100101221,ITM-002,Thermal Paste,TUB,892,SUP-1044,Taiwan/Taipei
PO-80123,GRN100101222,ITM-003,Capacitor 100uF,PCS,1467,SUP-1044,US/New York
