Item Number,Item Description,Supplier Name,Supplier Code,Supplier Location,Delivery location,Lead time (Weeks),Unit Price (USD),Air shipping cost/pc,Sea shipping cost/pc,Total Unit Cost with Sea shipping,Total Unit Cost with Air shipping,MOQ,Inco Terms,Payment Terms,Stock Ownership Basis (SOB),Contract Number,Contract Date,Contract Validity,Buyer Code,Unique Code if Sea,Unique Code if Air
ITM-004,KitchenAid Stand Mixer,Supplier X,SUP-1024,USA,Philippines/Manila,1,183.52,50,0.47,183.99,233.99,60,DDP,45 Days,Own Stock,CTR-9119,14/08/24,30/07/25,BUY-002,424S,424A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier X,SUP-1024,USA,US/New York,1,351.86,50,0.46,352.32,402.32,126,FOB,15 Days,Customer-Owned,CTR-9120,22/01/25,05/06/25,BUY-001,524S,524A
ITM-001,Apple iPhone 15 Pro,Supplier Y,SUP-1025,India,Taiwan/Taipei,1,920,50,0.46,920.46,970.46,103,EXW,60 Days,Own Stock,CTR-9121,09/11/24,10/12/25,BUY-001,125S,125A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier Y,SUP-1025,India,US/New York,2,459.76,50,0.44,460.2,510.2,64,FOB,45 Days,Customer-Owned,CTR-9122,14/12/24,02/01/26,BUY-004,225S,225A
ITM-003,Nike Air Jordan Sneakers,Supplier Y,SUP-1025,India,US/New York,2,65.11,50,0.42,65.53,115.53,114,CIF,60 Days,Own Stock,CTR-9123,29/09/24,13/01/26,BUY-005,325S,325A
ITM-004,KitchenAid Stand Mixer,Supplier Y,SUP-1025,India,Philippines/Manila,1,183.28,50,0.48,183.76,233.76,124,FOB,15 Days,Consignment,CTR-9124,09/05/24,14/11/25,BUY-001,425S,425A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier Y,SUP-1025,India,Taiwan/Taipei,2,351.96,50,0.48,352.44,402.44,160,EXW,60 Days,Customer-Owned,CTR-9125,08/02/25,19/01/26,BUY-001,525S,525A
ITM-001,Apple iPhone 15 Pro,Supplier Z,SUP-1026,Germany,Philippines/Manila,1,920,50,0.37,920.37,970.37,103,DDP,45 Days,Own Stock,CTR-9126,25/10/24,20/09/25,BUY-001,126S,126A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier Z,SUP-1026,Germany,Philippines/Manila,2,460.8,50,0.41,461.21,511.21,168,EXW,60 Days,Consignment,CTR-9127,10/11/24,03/11/25,BUY-005,226S,226A
ITM-003,Nike Air Jordan Sneakers,Supplier Z,SUP-1026,Germany,US/New York,2,65.11,50,0.37,65.48,115.48,140,EXW,45 Days,Consignment,CTR-9128,16/05/24,29/11/25,BUY-005,326S,326A
ITM-004,KitchenAid Stand Mixer,Supplier Z,SUP-1026,Germany,Philippines/Manila,2,183.26,50,0.37,183.63,233.63,147,EXW,30 Days,Own Stock,CTR-9129,10/12/24,14/04/26,BUY-001,426S,426A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier Z,SUP-1026,Germany,Philippines/Manila,1,351.81,50,0.41,352.22,402.22,180,EXW,30 Days,Own Stock,CTR-9130,24/01/25,09/01/26,BUY-005,526S,526A
ITM-001,Apple iPhone 15 Pro,Supplier A,SUP-1027,China,Taiwan/Taipei,2,920,50,0.4,920.4,970.4,57,FOB,30 Days,Customer-Owned,CTR-9131,10/12/24,11/08/25,BUY-004,127S,127A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier A,SUP-1027,China,Taiwan/Taipei,2,460.74,50,0.47,461.21,511.21,171,EXW,15 Days,Consignment,CTR-9132,24/10/24,14/04/26,BUY-005,227S,227A
ITM-003,Nike Air Jordan Sneakers,Supplier A,SUP-1027,China,Taiwan/Taipei,2,65.13,50,0.39,65.52,115.52,115,CIF,45 Days,Consignment,CTR-9133,03/06/24,02/08/25,BUY-001,327S,327A
ITM-004,KitchenAid Stand Mixer,Supplier A,SUP-1027,China,Philippines/Manila,2,183.84,50,0.43,184.27,234.27,162,EXW,45 Days,Own Stock,CTR-9134,06/06/24,09/08/25,BUY-003,427S,427A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier A,SUP-1027,China,US/New York,1,351.97,50,0.38,352.35,402.35,55,FOB,30 Days,Consignment,CTR-9135,10/07/24,14/06/25,BUY-003,527S,527A
ITM-001,Apple iPhone 15 Pro,Supplier B,SUP-1028,Japan,Taiwan/Taipei,2,920,50,0.39,920.39,970.39,91,DDP,15 Days,Consignment,CTR-9136,15/07/24,10/03/26,BUY-005,128S,128A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier B,SUP-1028,Japan,Taiwan/Taipei,2,460.38,50,0.37,460.75,510.75,91,FOB,60 Days,Own Stock,CTR-9137,21/02/25,01/04/26,BUY-004,228S,228A
ITM-003,Nike Air Jordan Sneakers,Supplier B,SUP-1028,Japan,Philippines/Manila,1,65.13,50,0.42,65.55,115.55,191,EXW,15 Days,Own Stock,CTR-9138,26/02/25,10/04/26,BUY-003,328S,328A
ITM-004,KitchenAid Stand Mixer,Supplier B,SUP-1028,Japan,US/New York,2,183.32,50,0.39,183.71,233.71,193,CIF,45 Days,Customer-Owned,CTR-9139,18/02/25,01/07/25,BUY-002,428S,428A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier B,SUP-1028,Japan,Taiwan/Taipei,2,351.98,50,0.37,352.35,402.35,74,EXW,45 Days,Customer-Owned,CTR-9140,02/10/24,13/11/25,BUY-003,528S,528A
ITM-001,Apple iPhone 15 Pro,Supplier C,SUP-1029,USA,Philippines/Manila,2,920,50,0.46,920.46,970.46,107,CIF,60 Days,Consignment,CTR-9141,26/12/24,22/10/25,BUY-001,129S,129A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier C,SUP-1029,USA,Philippines/Manila,1,460.62,50,0.5,461.12,511.12,79,DDP,30 Days,Own Stock,CTR-9142,08/11/24,03/08/25,BUY-004,229S,229A
ITM-003,Nike Air Jordan Sneakers,Supplier C,SUP-1029,USA,Philippines/Manila,2,65.12,50,0.46,65.58,115.58,169,FOB,45 Days,Consignment,CTR-9143,11/06/24,20/07/25,BUY-005,329S,329A
ITM-004,KitchenAid Stand Mixer,Supplier C,SUP-1029,USA,Philippines/Manila,2,183.41,50,0.43,183.84,233.84,68,EXW,15 Days,Consignment,CTR-9144,15/11/24,09/02/26,BUY-001,429S,429A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier C,SUP-1029,USA,Philippines/Manila,2,352,50,0.45,352.45,402.45,185,CIF,60 Days,Consignment,CTR-9145,25/07/24,18/01/26,BUY-001,529S,529A
ITM-001,Apple iPhone 15 Pro,Supplier D,SUP-1030,India,US/New York,2,920,50,0.48,920.48,970.48,100,FOB,30 Days,Customer-Owned,CTR-9146,28/11/24,28/12/25,BUY-002,130S,130A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier D,SUP-1030,India,Taiwan/Taipei,1,459.18,50,0.49,459.67,509.67,82,FOB,30 Days,Own Stock,CTR-9147,01/12/24,21/04/26,BUY-005,230S,230A
ITM-003,Nike Air Jordan Sneakers,Supplier D,SUP-1030,India,Taiwan/Taipei,2,65.12,50,0.47,65.59,115.59,141,EXW,60 Days,Customer-Owned,CTR-9148,28/03/25,13/06/25,BUY-001,330S,330A
ITM-004,KitchenAid Stand Mixer,Supplier D,SUP-1030,India,Taiwan/Taipei,1,183.23,50,0.41,183.64,233.64,62,DDP,30 Days,Customer-Owned,CTR-9149,22/10/24,04/08/25,BUY-003,430S,430A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier D,SUP-1030,India,Philippines/Manila,2,352.08,50,0.43,352.51,402.51,110,EXW,30 Days,Customer-Owned,CTR-9150,19/12/24,19/06/25,BUY-003,530S,530A
ITM-001,Apple iPhone 15 Pro,Supplier E,SUP-1031,China,Philippines/Manila,1,920,50,0.47,920.47,970.47,171,DDP,30 Days,Own Stock,CTR-9151,28/01/25,04/12/25,BUY-004,131S,131A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier E,SUP-1031,China,Taiwan/Taipei,1,460.58,50,0.41,460.99,510.99,108,EXW,15 Days,Own Stock,CTR-9152,17/08/24,17/08/25,BUY-005,231S,231A
ITM-003,Nike Air Jordan Sneakers,Supplier E,SUP-1031,China,Philippines/Manila,1,65.11,50,0.41,65.52,115.52,62,DDP,60 Days,Own Stock,CTR-9153,09/07/24,12/06/25,BUY-001,331S,331A
ITM-004,KitchenAid Stand Mixer,Supplier E,SUP-1031,China,Philippines/Manila,1,183.8,50,0.42,184.22,234.22,160,FOB,15 Days,Own Stock,CTR-9154,12/11/24,13/07/25,BUY-002,431S,431A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier E,SUP-1031,China,US/New York,1,351.86,50,0.45,352.31,402.31,64,DDP,45 Days,Customer-Owned,CTR-9155,05/06/24,17/06/25,BUY-002,531S,531A
ITM-001,Apple iPhone 15 Pro,Supplier F,SUP-1032,China,US/New York,2,920,50,0.45,920.45,970.45,135,CIF,15 Days,Consignment,CTR-9156,26/09/24,25/12/25,BUY-002,132S,132A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier F,SUP-1032,China,US/New York,2,460.34,50,0.4,460.74,510.74,95,EXW,15 Days,Customer-Owned,CTR-9157,05/01/25,26/09/25,BUY-004,232S,232A
ITM-003,Nike Air Jordan Sneakers,Supplier F,SUP-1032,China,US/New York,1,65.12,50,0.42,65.54,115.54,156,DDP,15 Days,Own Stock,CTR-9158,26/02/25,07/12/25,BUY-004,332S,332A
ITM-004,KitchenAid Stand Mixer,Supplier F,SUP-1032,China,Philippines/Manila,1,183.18,50,0.39,183.57,233.57,184,DDP,60 Days,Own Stock,CTR-9159,18/10/24,15/02/26,BUY-002,432S,432A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier F,SUP-1032,China,Philippines/Manila,1,351.99,50,0.44,352.43,402.43,185,DDP,15 Days,Customer-Owned,CTR-9160,19/07/24,16/09/25,BUY-001,532S,532A
ITM-001,Apple iPhone 15 Pro,Supplier G,SUP-1033,USA,US/New York,2,920,50,0.41,920.41,970.41,109,CIF,30 Days,Customer-Owned,CTR-9161,30/01/25,25/04/26,BUY-001,133S,133A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier G,SUP-1033,USA,Philippines/Manila,1,460.12,50,0.49,460.61,510.61,56,CIF,30 Days,Own Stock,CTR-9162,02/07/24,19/08/25,BUY-003,233S,233A
ITM-003,Nike Air Jordan Sneakers,Supplier G,SUP-1033,USA,Taiwan/Taipei,2,65.13,50,0.43,65.56,115.56,151,EXW,30 Days,Consignment,CTR-9163,15/03/25,22/12/25,BUY-001,333S,333A
ITM-004,KitchenAid Stand Mixer,Supplier G,SUP-1033,USA,Philippines/Manila,1,183.58,50,0.47,184.05,234.05,132,DDP,15 Days,Consignment,CTR-9164,22/07/24,28/02/26,BUY-003,433S,433A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier G,SUP-1033,USA,Philippines/Manila,2,352,50,0.41,352.41,402.41,172,EXW,60 Days,Own Stock,CTR-9165,24/01/25,03/09/25,BUY-001,533S,533A
ITM-001,Apple iPhone 15 Pro,Supplier H,SUP-1034,USA,Taiwan/Taipei,2,920,50,0.44,920.44,970.44,113,CIF,45 Days,Customer-Owned,CTR-9166,05/01/25,10/07/25,BUY-005,134S,134A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier H,SUP-1034,USA,US/New York,1,459.02,50,0.5,459.52,509.52,160,FOB,30 Days,Customer-Owned,CTR-9167,22/12/24,25/09/25,BUY-003,234S,234A
ITM-003,Nike Air Jordan Sneakers,Supplier H,SUP-1034,USA,US/New York,2,65.12,50,0.46,65.58,115.58,118,CIF,45 Days,Own Stock,CTR-9168,16/01/25,01/09/25,BUY-004,334S,334A
ITM-004,KitchenAid Stand Mixer,Supplier H,SUP-1034,USA,US/New York,1,183.54,50,0.42,183.96,233.96,171,FOB,30 Days,Customer-Owned,CTR-9169,04/07/24,11/06/25,BUY-001,434S,434A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier H,SUP-1034,USA,US/New York,2,352.09,50,0.45,352.54,402.54,106,DDP,60 Days,Customer-Owned,CTR-9170,15/10/24,13/02/26,BUY-003,534S,534A
ITM-001,Apple iPhone 15 Pro,Supplier I,SUP-1035,China,US/New York,2,920,50,0.37,920.37,970.37,116,EXW,15 Days,Own Stock,CTR-9171,05/01/25,15/04/26,BUY-001,135S,135A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier I,SUP-1035,China,Taiwan/Taipei,2,459.86,50,0.41,460.27,510.27,71,DDP,30 Days,Consignment,CTR-9172,18/06/24,09/12/25,BUY-001,235S,235A
ITM-003,Nike Air Jordan Sneakers,Supplier I,SUP-1035,China,Taiwan/Taipei,2,65.13,50,0.39,65.52,115.52,177,CIF,30 Days,Own Stock,CTR-9173,18/07/24,03/02/26,BUY-003,335S,335A
ITM-004,KitchenAid Stand Mixer,Supplier I,SUP-1035,China,Philippines/Manila,2,183.39,50,0.39,183.78,233.78,192,FOB,30 Days,Consignment,CTR-9174,14/07/24,23/01/26,BUY-005,435S,435A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier I,SUP-1035,China,US/New York,2,351.96,50,0.45,352.41,402.41,52,CIF,15 Days,Own Stock,CTR-9175,03/09/24,07/12/25,BUY-003,535S,535A
ITM-001,Apple iPhone 15 Pro,Supplier J,SUP-1036,Japan,US/New York,1,920,50,0.42,920.42,970.42,72,DDP,60 Days,Customer-Owned,CTR-9176,15/12/24,16/04/26,BUY-003,136S,136A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier J,SUP-1036,Japan,Taiwan/Taipei,2,459.02,50,0.4,459.42,509.42,68,DDP,30 Days,Own Stock,CTR-9177,11/10/24,18/09/25,BUY-001,236S,236A
ITM-003,Nike Air Jordan Sneakers,Supplier J,SUP-1036,Japan,Taiwan/Taipei,2,65.11,50,0.37,65.48,115.48,168,DDP,15 Days,Customer-Owned,CTR-9178,24/06/24,17/12/25,BUY-001,336S,336A
ITM-004,KitchenAid Stand Mixer,Supplier J,SUP-1036,Japan,Taiwan/Taipei,2,183.35,50,0.41,183.76,233.76,179,CIF,15 Days,Customer-Owned,CTR-9179,16/07/24,09/09/25,BUY-002,436S,436A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier J,SUP-1036,Japan,US/New York,1,351.91,50,0.4,352.31,402.31,142,CIF,45 Days,Own Stock,CTR-9180,06/02/25,20/07/25,BUY-004,536S,536A
ITM-001,Apple iPhone 15 Pro,Supplier K,SUP-1037,Japan,Philippines/Manila,2,920,50,0.4,920.4,970.4,171,DDP,60 Days,Consignment,CTR-9181,28/09/24,20/02/26,BUY-003,137S,137A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier K,SUP-1037,Japan,Philippines/Manila,2,459.68,50,0.43,460.11,510.11,114,CIF,60 Days,Own Stock,CTR-9182,28/12/24,10/01/26,BUY-005,237S,237A
ITM-003,Nike Air Jordan Sneakers,Supplier K,SUP-1037,Japan,US/New York,1,65.11,50,0.43,65.54,115.54,184,FOB,30 Days,Customer-Owned,CTR-9183,21/10/24,15/01/26,BUY-003,337S,337A
ITM-004,KitchenAid Stand Mixer,Supplier K,SUP-1037,Japan,US/New York,1,183.83,50,0.38,184.21,234.21,128,FOB,15 Days,Own Stock,CTR-9184,23/11/24,21/02/26,BUY-003,437S,437A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier K,SUP-1037,Japan,Taiwan/Taipei,2,352.16,50,0.41,352.57,402.57,145,DDP,45 Days,Own Stock,CTR-9185,21/09/24,15/09/25,BUY-005,537S,537A
ITM-001,Apple iPhone 15 Pro,Supplier L,SUP-1038,India,US/New York,2,920,50,0.5,920.5,970.5,53,FOB,45 Days,Customer-Owned,CTR-9186,14/01/25,09/10/25,BUY-005,138S,138A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier L,SUP-1038,India,Philippines/Manila,2,460.54,50,0.45,460.99,510.99,96,EXW,45 Days,Consignment,CTR-9187,20/03/25,03/09/25,BUY-005,238S,238A
ITM-003,Nike Air Jordan Sneakers,Supplier L,SUP-1038,India,Taiwan/Taipei,2,65.12,50,0.46,65.58,115.58,176,DDP,30 Days,Consignment,CTR-9188,21/05/24,24/04/26,BUY-003,338S,338A
ITM-004,KitchenAid Stand Mixer,Supplier L,SUP-1038,India,Taiwan/Taipei,1,183.2,50,0.48,183.68,233.68,151,CIF,15 Days,Consignment,CTR-9189,18/10/24,09/02/26,BUY-004,438S,438A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier L,SUP-1038,India,Taiwan/Taipei,2,352.14,50,0.45,352.59,402.59,119,EXW,30 Days,Customer-Owned,CTR-9190,13/10/24,28/11/25,BUY-001,538S,538A
ITM-001,Apple iPhone 15 Pro,Supplier M,SUP-1039,Japan,Taiwan/Taipei,1,920,50,0.41,920.41,970.41,131,EXW,60 Days,Own Stock,CTR-9191,06/11/24,02/03/26,BUY-005,139S,139A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier M,SUP-1039,Japan,Taiwan/Taipei,1,459.7,50,0.39,460.09,510.09,115,FOB,45 Days,Consignment,CTR-9192,08/11/24,25/10/25,BUY-003,239S,239A
ITM-003,Nike Air Jordan Sneakers,Supplier M,SUP-1039,Japan,US/New York,1,65.11,50,0.4,65.51,115.51,173,EXW,45 Days,Consignment,CTR-9193,26/12/24,26/03/26,BUY-003,339S,339A
ITM-004,KitchenAid Stand Mixer,Supplier M,SUP-1039,Japan,Taiwan/Taipei,2,183.75,50,0.45,184.2,234.2,73,EXW,60 Days,Consignment,CTR-9194,12/01/25,07/08/25,BUY-005,439S,439A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier M,SUP-1039,Japan,US/New York,1,351.97,50,0.37,352.34,402.34,185,EXW,45 Days,Own Stock,CTR-9195,28/02/25,19/10/25,BUY-003,539S,539A
ITM-001,Apple iPhone 15 Pro,Supplier N,SUP-1040,China,US/New York,2,920,50,0.43,920.43,970.43,165,DDP,45 Days,Consignment,CTR-9196,12/01/25,22/10/25,BUY-003,140S,140A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier N,SUP-1040,China,US/New York,2,459.08,50,0.45,459.53,509.53,171,CIF,15 Days,Consignment,CTR-9197,21/07/24,07/12/25,BUY-002,240S,240A
ITM-003,Nike Air Jordan Sneakers,Supplier N,SUP-1040,China,US/New York,1,65.11,50,0.43,65.54,115.54,124,DDP,45 Days,Own Stock,CTR-9198,09/05/24,25/03/26,BUY-001,340S,340A
ITM-004,KitchenAid Stand Mixer,Supplier N,SUP-1040,China,US/New York,2,183.43,50,0.45,183.88,233.88,151,FOB,30 Days,Consignment,CTR-9199,22/06/24,10/11/25,BUY-005,440S,440A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier N,SUP-1040,China,Philippines/Manila,2,352.08,50,0.38,352.46,402.46,150,DDP,45 Days,Consignment,CTR-9200,08/05/24,05/03/26,BUY-005,540S,540A
ITM-001,Apple iPhone 15 Pro,Supplier O,SUP-1041,China,US/New York,2,920,50,0.43,920.43,970.43,131,CIF,60 Days,Consignment,CTR-9201,08/11/24,11/10/25,BUY-004,141S,141A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier O,SUP-1041,China,US/New York,1,459.54,50,0.41,459.95,509.95,179,DDP,15 Days,Consignment,CTR-9202,29/01/25,07/11/25,BUY-003,241S,241A
ITM-003,Nike Air Jordan Sneakers,Supplier O,SUP-1041,China,US/New York,2,65.12,50,0.39,65.51,115.51,72,CIF,45 Days,Own Stock,CTR-9203,10/10/24,05/09/25,BUY-002,341S,341A
ITM-004,KitchenAid Stand Mixer,Supplier O,SUP-1041,China,Taiwan/Taipei,2,183.2,50,0.46,183.66,233.66,152,FOB,30 Days,Customer-Owned,CTR-9204,19/05/24,03/03/26,BUY-002,441S,441A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier O,SUP-1041,China,Taiwan/Taipei,1,351.95,50,0.4,352.35,402.35,164,FOB,30 Days,Consignment,CTR-9205,23/12/24,28/06/25,BUY-004,541S,541A
ITM-001,Apple iPhone 15 Pro,Supplier P,SUP-1042,Germany,US/New York,1,920,50,0.38,920.38,970.38,143,CIF,30 Days,Consignment,CTR-9206,21/12/24,17/09/25,BUY-002,142S,142A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier P,SUP-1042,Germany,US/New York,1,460.42,50,0.37,460.79,510.79,150,DDP,45 Days,Own Stock,CTR-9207,23/08/24,29/12/25,BUY-005,242S,242A
ITM-003,Nike Air Jordan Sneakers,Supplier P,SUP-1042,Germany,Taiwan/Taipei,1,65.12,50,0.4,65.52,115.52,181,EXW,30 Days,Consignment,CTR-9208,08/12/24,06/02/26,BUY-001,342S,342A
ITM-004,KitchenAid Stand Mixer,Supplier P,SUP-1042,Germany,Philippines/Manila,1,183.25,50,0.35,183.6,233.6,158,FOB,60 Days,Own Stock,CTR-9209,13/07/24,24/09/25,BUY-002,442S,442A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier P,SUP-1042,Germany,US/New York,1,351.84,50,0.37,352.21,402.21,143,DDP,60 Days,Own Stock,CTR-9210,05/07/24,13/02/26,BUY-002,542S,542A
ITM-001,Apple iPhone 15 Pro,Supplier Q,SUP-1043,China,Taiwan/Taipei,2,920,50,0.44,920.44,970.44,100,CIF,15 Days,Own Stock,CTR-9211,24/08/24,11/09/25,BUY-005,143S,143A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier Q,SUP-1043,China,Taiwan/Taipei,2,459.36,50,0.45,459.81,509.81,74,CIF,60 Days,Consignment,CTR-9212,25/10/24,21/10/25,BUY-003,243S,243A
ITM-003,Nike Air Jordan Sneakers,Supplier Q,SUP-1043,China,Philippines/Manila,2,65.11,50,0.43,65.54,115.54,55,CIF,60 Days,Own Stock,CTR-9213,09/02/25,25/02/26,BUY-002,343S,343A
ITM-004,KitchenAid Stand Mixer,Supplier Q,SUP-1043,China,US/New York,2,183.26,50,0.43,183.69,233.69,161,EXW,45 Days,Own Stock,CTR-9214,07/07/24,12/03/26,BUY-001,443S,443A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier Q,SUP-1043,China,Philippines/Manila,2,352.01,50,0.42,352.43,402.43,120,EXW,15 Days,Customer-Owned,CTR-9215,28/02/25,07/12/25,BUY-001,543S,543A
ITM-001,Apple iPhone 15 Pro,Supplier R,SUP-1044,Japan,US/New York,2,920,50,0.4,920.4,970.4,112,EXW,30 Days,Customer-Owned,CTR-9216,12/02/25,08/10/25,BUY-001,144S,144A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier R,SUP-1044,Japan,Taiwan/Taipei,2,459.98,50,0.43,460.41,510.41,162,CIF,45 Days,Own Stock,CTR-9217,13/09/24,11/02/26,BUY-001,244S,244A
ITM-003,Nike Air Jordan Sneakers,Supplier R,SUP-1044,Japan,Taiwan/Taipei,1,65.13,50,0.38,65.51,115.51,150,EXW,30 Days,Own Stock,CTR-9218,09/07/24,22/07/25,BUY-005,344S,344A
ITM-004,KitchenAid Stand Mixer,Supplier R,SUP-1044,Japan,Philippines/Manila,2,183.6,50,0.41,184.01,234.01,115,EXW,45 Days,Own Stock,CTR-9219,23/05/24,14/03/26,BUY-003,444S,444A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier R,SUP-1044,Japan,US/New York,1,351.87,50,0.39,352.26,402.26,72,CIF,45 Days,Customer-Owned,CTR-9220,11/10/24,03/12/25,BUY-004,544S,544A
ITM-001,Apple iPhone 15 Pro,Supplier S,SUP-1045,India,Philippines/Manila,1,920,50,0.44,920.44,970.44,106,FOB,60 Days,Own Stock,CTR-9221,13/10/24,19/10/25,BUY-001,145S,145A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier S,SUP-1045,India,Taiwan/Taipei,1,460.8,50,0.42,461.22,511.22,87,FOB,30 Days,Own Stock,CTR-9222,03/08/24,06/12/25,BUY-003,245S,245A
ITM-003,Nike Air Jordan Sneakers,Supplier S,SUP-1045,India,US/New York,2,65.12,50,0.46,65.58,115.58,179,EXW,30 Days,Customer-Owned,CTR-9223,18/07/24,15/11/25,BUY-001,345S,345A
ITM-004,KitchenAid Stand Mixer,Supplier S,SUP-1045,India,US/New York,2,183.74,50,0.47,184.21,234.21,130,FOB,60 Days,Own Stock,CTR-9224,23/12/24,30/04/26,BUY-001,445S,445A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier S,SUP-1045,India,Taiwan/Taipei,2,352.17,50,0.46,352.63,402.63,62,CIF,30 Days,Own Stock,CTR-9225,30/11/24,29/08/25,BUY-003,545S,545A
ITM-001,Apple iPhone 15 Pro,Supplier T,SUP-1046,Taiwan,Philippines/Manila,1,920,50,0.41,920.41,970.41,183,CIF,15 Days,Customer-Owned,CTR-9226,20/12/24,12/10/25,BUY-005,146S,146A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier T,SUP-1046,Taiwan,Philippines/Manila,1,460.56,50,0.41,460.97,510.97,87,DDP,30 Days,Consignment,CTR-9227,21/08/24,14/06/25,BUY-003,246S,246A
ITM-003,Nike Air Jordan Sneakers,Supplier T,SUP-1046,Taiwan,Taiwan/Taipei,2,65.12,50,0.36,65.48,115.48,191,CIF,15 Days,Consignment,CTR-9228,20/05/24,14/04/26,BUY-001,346S,346A
ITM-004,KitchenAid Stand Mixer,Supplier T,SUP-1046,Taiwan,US/New York,1,183.38,50,0.34,183.72,233.72,55,FOB,30 Days,Consignment,CTR-9229,27/03/25,10/04/26,BUY-004,446S,446A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier T,SUP-1046,Taiwan,Philippines/Manila,1,351.92,50,0.37,352.29,402.29,59,DDP,15 Days,Own Stock,CTR-9230,07/08/24,24/01/26,BUY-002,546S,546A
ITM-001,Apple iPhone 15 Pro,Supplier U,SUP-1047,Japan,Taiwan/Taipei,1,920,50,0.38,920.38,970.38,148,FOB,30 Days,Consignment,CTR-9231,05/11/24,06/03/26,BUY-002,147S,147A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier U,SUP-1047,Japan,Taiwan/Taipei,2,460.88,50,0.4,461.28,511.28,158,EXW,45 Days,Own Stock,CTR-9232,21/02/25,20/09/25,BUY-001,247S,247A
ITM-003,Nike Air Jordan Sneakers,Supplier U,SUP-1047,Japan,Taiwan/Taipei,1,65.12,50,0.4,65.52,115.52,71,DDP,15 Days,Consignment,CTR-9233,03/02/25,29/04/26,BUY-002,347S,347A
ITM-004,KitchenAid Stand Mixer,Supplier U,SUP-1047,Japan,Philippines/Manila,1,183.71,50,0.38,184.09,234.09,99,CIF,15 Days,Own Stock,CTR-9234,24/09/24,03/03/26,BUY-005,447S,447A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier U,SUP-1047,Japan,Taiwan/Taipei,2,351.94,50,0.37,352.31,402.31,63,DDP,45 Days,Own Stock,CTR-9235,17/08/24,20/06/25,BUY-004,547S,547A
ITM-001,Apple iPhone 15 Pro,Supplier V,SUP-1048,India,Taiwan/Taipei,1,920,50,0.42,920.42,970.42,187,EXW,15 Days,Own Stock,CTR-9236,27/09/24,03/03/26,BUY-005,148S,148A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier V,SUP-1048,India,US/New York,2,460.66,50,0.47,461.13,511.13,135,FOB,45 Days,Consignment,CTR-9237,08/02/25,21/02/26,BUY-003,248S,248A
ITM-003,Nike Air Jordan Sneakers,Supplier V,SUP-1048,India,US/New York,2,65.12,50,0.42,65.54,115.54,93,CIF,60 Days,Consignment,CTR-9238,12/12/24,16/04/26,BUY-004,348S,348A
ITM-004,KitchenAid Stand Mixer,Supplier V,SUP-1048,India,US/New York,2,183.39,50,0.44,183.83,233.83,116,FOB,30 Days,Own Stock,CTR-9239,13/07/24,20/11/25,BUY-001,448S,448A
